Booking_ID,Hotel_Type,Hotel_Location,Booking_Date,Arrival_Date,Lead_Time_Days,Weekend_Nights,Weekday_Nights,Adults,Children,Babies,Country,Market_Segment,Distribution_Channel,Is_Repeated_Guest,Previous_Cancellations,Previous_Bookings,Room_Type_Reserved,Room_Type_Assigned,Booking_Changes,Deposit_Type,Agent_ID,Days_In_Waiting_List,Customer_Type,Meal_Type,Total_Nights,ADR,Required_Car_Parking_Spaces,Total_Special_Requests,Satisfaction_Score,Reservation_Status,Is_Canceled,Reservation_Status_Date,Estimated_Revenue,Has_Company,Arrival_Month,Arrival_Year,Total_Guests
HTL017250,City Hotel,Barcelona,2024-07-02,2025-05-11,313,0,1,2,0.0,0,Fra,Online Ta,Ta/To,1,1,7,A,E,0,Non Refund,92.0,0.0,Contract,Hb,1.0,72.93,0,1,3.32,Canceled,1,2025-05-12,72.93,0,May,2025,2.0
HTL014846,City Hotel,Lisbon,2024-11-15,2024-11-30,15,2,1,1,0.0,0,Ind,Online Ta,Ta/To,0,0,0,A,A,0,Non Refund,81.0,0.0,Transient-Party,Sc,3.0,94.42,0,1,3.75,Check-Out,0,2024-11-30,283.25,0,November,2024,1.0
HTL008779,City Hotel,Lisbon,2024-01-06,2024-02-15,40,2,3,2,0.0,0,Bra,Corporate,Corporate,1,0,7,E,E,1,No Deposit,137.0,0.0,Transient,Fb,5.0,95.72,0,1,4.71,Check-Out,0,2024-02-16,478.58,1,February,2024,2.0
HTL020142,Resort Hotel,Maldives,2024-08-07,2025-07-05,332,2,0,2,0.0,0,Usa,Online Ta,Ta/To,0,0,0,H,H,0,Non Refund,3.0,2.0,Contract,Fb,2.0,247.08,0,0,3.94,Canceled,1,2025-07-06,494.16,0,July,2025,2.0
HTL019424,Resort Hotel,Goa,2024-12-12,2025-12-08,361,3,3,2,0.0,0,Bra,Offline Ta/To,Ta/To,0,0,0,H,H,3,Non Refund,140.0,0.0,Contract,Bb,6.0,262.2,0,3,4.44,Canceled,1,2025-12-09,1497.9950000000001,0,December,2025,2.0
HTL006714,City Hotel,Dubai,2025-04-15,2026-01-05,265,1,0,2,0.0,0,Nor,Online Ta,Ta/To,0,0,0,B,B,4,No Deposit,82.0,2.5,Group,Undefined,1.0,71.1,0,2,2.83,Canceled,1,2026-01-06,71.1,0,January,2026,2.0
HTL010251,City Hotel,London,2025-11-13,2026-07-16,245,3,2,2,0.0,0,Nld,Direct,Direct,0,0,0,C,F,0,Non Refund,163.0,0.0,Transient,Bb,5.0,107.21,1,0,3.46,Canceled,1,2026-07-20,536.07,0,July,2026,2.0
HTL017092,Resort Hotel,Bali,2024-12-13,2025-11-29,351,0,6,2,0.0,0,Deu,Direct,Direct,0,0,0,A,H,0,No Deposit,62.0,2.5,Transient,Hb,6.0,108.24,0,1,3.34,Canceled,1,2025-12-04,649.42,0,November,2025,2.0
HTL012317,City Hotel,Lisbon,2024-11-13,2025-02-08,87,2,0,2,1.0,0,Are,Online Ta,Ta/To,0,0,0,B,B,1,Refundable,175.0,0.0,Contract,Fb,2.0,97.9,0,3,4.41,Check-Out,0,2025-02-08,195.8,0,February,2025,3.0
HTL020038,City Hotel,London,2024-03-19,2024-08-17,151,1,1,4,1.0,0,Ind,Offline Ta/To,Ta/To,0,0,0,A,A,0,Non Refund,36.0,2.5,Contract,Bb,2.0,98.15,0,1,4.14,Canceled,1,2024-08-18,196.3,0,August,2024,5.0
HTL014433,Resort Hotel,Maldives,2025-09-15,2026-06-20,278,3,2,3,0.0,0,Irl,Online Ta,Ta/To,0,0,0,E,E,2,Non Refund,139.0,0.0,Transient,Hb,5.0,193.52,0,0,4.29,Canceled,1,2026-06-23,967.6,0,June,2026,3.0
HTL012733,Resort Hotel,Maldives,2024-04-01,2024-09-01,153,1,4,2,0.0,0,Dnk,Online Ta,Ta/To,1,0,11,G,G,1,Non Refund,30.0,0.0,Contract,Undefined,5.0,216.6,0,1,4.45,Canceled,1,2024-09-01,1083.02,0,September,2024,2.0
HTL013303,City Hotel,Dubai,2025-07-03,2026-03-08,248,2,3,2,1.0,0,Jpn,Online Ta,Ta/To,0,0,0,D,D,0,Non Refund,118.0,0.0,Transient,Fb,5.0,119.0,0,2,3.66,Canceled,1,2026-03-10,594.99,0,March,2026,3.0
HTL000016,Resort Hotel,Maldives,2024-10-27,2025-05-10,195,0,7,2,1.0,0,Unknown,Direct,Direct,1,0,12,E,E,0,Non Refund,104.0,0.0,Contract,Undefined,7.0,168.65,1,0,4.12,Canceled,1,2025-05-16,1180.58,0,May,2025,3.0
HTL016099,Resort Hotel,Phuket,2024-01-16,2024-07-28,194,3,4,2,2.0,0,Nld,Online Ta,Ta/To,0,0,0,D,D,4,Non Refund,51.0,1.0,Transient,Undefined,7.0,178.47,0,0,3.82,Canceled,1,2024-08-01,1249.29,0,July,2024,4.0
HTL015922,Resort Hotel,Algarve,2025-02-26,2025-12-10,287,3,5,2,0.0,0,Swe,Offline Ta/To,Ta/To,0,0,0,E,E,0,No Deposit,4.0,2.0,Contract,Unknown,8.0,221.34,0,1,4.04,Check-Out,0,2025-12-10,1497.9950000000001,0,December,2025,2.0
HTL014537,City Hotel,Dubai,2024-04-24,2024-12-12,232,2,2,2,1.0,0,Ind,Online Ta,Ta/To,0,0,0,G,G,0,No Deposit,89.0,0.0,Transient-Party,Sc,4.0,177.43,0,3,3.83,Canceled,1,2024-12-16,709.71,0,December,2024,3.0
HTL004193,City Hotel,Dubai,2025-11-09,2026-05-05,177,2,0,2,1.0,0,Che,Online Ta,Ta/To,0,0,0,E,E,0,No Deposit,85.0,2.5,Transient,Bb,2.0,107.16,0,2,3.96,Canceled,1,2026-05-07,214.31,0,May,2026,3.0
HTL000112,City Hotel,Barcelona,2024-03-06,2024-12-19,288,3,0,2,0.0,0,Che,Groups,Corporate,1,0,2,C,C,1,No Deposit,166.0,0.0,Contract,Undefined,3.0,109.98,0,2,3.75,Check-Out,0,2024-12-21,329.93,1,December,2024,2.0
HTL003488,City Hotel,Dubai,2024-07-31,2024-11-30,122,0,3,2,0.0,0,Jpn,Offline Ta/To,Ta/To,1,0,11,H,H,0,Non Refund,4.0,0.0,Transient,Bb,3.0,136.09,0,3,4.54,Canceled,1,2024-12-03,408.28,0,November,2024,2.0
HTL016825,City Hotel,Dubai,2025-11-29,2026-02-17,80,0,1,2,0.0,0,Ita,Corporate,Corporate,0,0,0,G,G,0,Non Refund,8.0,0.0,Transient,Bb,1.0,119.68,0,0,4.29,Canceled,1,2026-02-18,119.68,1,February,2026,2.0
HTL002718,City Hotel,London,2024-12-27,2025-03-19,82,0,3,2,1.0,0,Bel,Direct,Direct,0,0,0,C,C,1,No Deposit,91.0,0.0,Transient-Party,Hb,3.0,118.97,0,1,4.03,Check-Out,0,2025-03-20,356.92,0,March,2025,3.0
HTL016745,Resort Hotel,Goa,2025-09-16,2026-01-25,131,1,0,3,2.0,0,Pol,Corporate,Corporate,0,0,0,F,F,0,No Deposit,172.0,1.0,Transient-Party,Undefined,1.0,151.2,0,0,2.97,Check-Out,0,2026-01-25,151.2,1,January,2026,5.0
HTL023047,City Hotel,Amsterdam,2025-11-13,2026-11-03,355,3,0,2,0.0,1,Chn,Corporate,Corporate,0,0,0,F,F,0,Non Refund,98.0,0.0,Group,Bb,3.0,104.02,0,3,3.61,Canceled,1,2026-11-03,312.07,1,November,2026,3.0
HTL001421,City Hotel,Dubai,2025-07-06,2025-12-09,156,1,1,4,1.0,0,Are,Groups,Ta/To,0,0,0,H,H,0,No Deposit,70.0,0.0,Group,Sc,2.0,156.81,1,1,4.47,Canceled,1,2025-12-09,313.62,1,December,2025,5.0
HTL022665,Resort Hotel,Phuket,2024-01-03,2024-08-26,236,1,5,1,1.0,0,Unknown,Online Ta,Ta/To,0,0,0,H,H,0,Non Refund,77.0,0.0,Contract,Undefined,6.0,263.84124999999995,0,0,3.83,Canceled,1,2024-09-01,1497.9950000000001,0,August,2024,2.0
HTL014796,Resort Hotel,Bali,2025-05-05,2025-11-08,187,0,6,2,0.0,0,Nor,Online Ta,Ta/To,1,0,11,D,D,3,No Deposit,168.0,0.0,Transient-Party,Bb,6.0,148.27,0,0,4.04,Canceled,1,2025-11-09,889.61,0,November,2025,2.0
HTL020904,City Hotel,Lisbon,2025-02-23,2025-11-18,268,2,0,2,0.0,0,Sau,Online Ta,Ta/To,0,0,0,C,C,2,No Deposit,128.0,0.0,Transient-Party,Fb,2.0,63.3,0,1,3.05,Check-Out,0,2025-11-18,126.6,0,November,2025,2.0
HTL005109,City Hotel,London,2025-08-24,2026-05-05,254,0,1,1,0.0,0,Gbr,Online Ta,Ta/To,0,0,0,G,G,1,No Deposit,97.0,0.0,Group,Sc,1.0,153.36,0,0,3.78,No-Show,1,2026-05-05,153.36,0,May,2026,1.0
HTL006210,City Hotel,Amsterdam,2024-08-05,2024-08-22,17,0,6,1,1.0,0,Are,Direct,Direct,0,0,0,C,E,0,Non Refund,139.0,0.0,Transient,Hb,6.0,122.75,2,2,3.85,Canceled,1,2024-08-22,736.48,0,August,2024,2.0
HTL017995,Resort Hotel,Goa,2024-10-22,2025-01-02,72,1,1,2,0.0,0,Fra,Direct,Direct,0,0,0,D,D,0,No Deposit,51.0,0.0,Contract,Undefined,2.0,134.14,0,1,3.72,Canceled,1,2025-01-04,268.27,0,January,2025,2.0
HTL008546,City Hotel,Lisbon,2025-02-06,2025-11-16,283,0,2,2,0.0,0,Can,Online Ta,Ta/To,0,0,0,F,F,1,Non Refund,96.0,0.0,Transient,Sc,2.0,123.8,0,1,3.74,Canceled,1,2025-11-16,247.6,0,November,2025,2.0
HTL023622,Resort Hotel,Goa,2025-02-11,2025-08-07,177,1,0,3,0.0,0,Irl,Direct,Direct,0,0,0,B,B,0,Non Refund,137.0,2.5,Contract,Sc,1.0,150.62,0,1,4.21,Canceled,1,2025-08-07,150.62,0,August,2025,3.0
HTL013356,City Hotel,Lisbon,2024-02-20,2024-08-19,181,1,0,3,0.0,0,Can,Direct,Direct,0,0,0,G,G,1,No Deposit,65.0,1.0,Transient,Bb,1.0,173.97,0,2,4.06,Check-Out,0,2024-08-19,173.97,0,August,2024,3.0
HTL004962,City Hotel,Barcelona,2025-05-20,2025-08-10,82,0,1,2,0.0,0,Nld,Direct,Direct,0,0,0,C,C,1,No Deposit,110.0,0.0,Transient-Party,Fb,1.0,98.3,2,0,3.63,Canceled,1,2025-08-11,98.3,0,August,2025,2.0
HTL003656,City Hotel,Lisbon,2024-08-31,2025-05-01,243,3,0,2,0.0,0,Nor,Corporate,Corporate,1,0,4,H,H,0,Non Refund,172.0,0.0,Transient-Party,Undefined,3.0,131.53,0,1,3.82,Canceled,1,2025-05-01,394.59,1,May,2025,2.0
HTL023301,City Hotel,Lisbon,2025-04-02,2026-03-18,350,3,3,3,0.0,0,Prt,Online Ta,Ta/To,0,0,0,E,E,1,Non Refund,133.0,2.5,Group,Fb,6.0,111.89,0,1,3.21,Canceled,1,2026-03-24,671.31,0,March,2026,3.0
HTL010868,Resort Hotel,Maldives,2024-10-31,2024-12-28,58,3,5,2,0.0,0,Pol,Direct,Direct,0,0,0,H,H,0,Non Refund,144.0,0.0,Transient,Sc,8.0,263.84124999999995,1,0,4.08,No-Show,1,2024-12-31,1497.9950000000001,0,December,2024,2.0
HTL013250,City Hotel,Amsterdam,2025-10-08,2025-12-09,62,0,1,3,2.0,0,Dnk,Offline Ta/To,Ta/To,0,0,0,E,E,0,No Deposit,111.0,0.0,Group,Hb,1.0,116.16,0,0,3.43,Check-Out,0,2025-12-09,116.16,0,December,2025,5.0
HTL024930,Resort Hotel,Phuket,2024-10-31,2025-07-03,245,2,3,2,0.0,0,Usa,Offline Ta/To,Ta/To,0,0,0,F,F,0,No Deposit,174.0,0.0,Transient-Party,Fb,5.0,244.11,0,2,3.95,Canceled,1,2025-07-03,1220.54,0,July,2025,2.0
HTL007480,Resort Hotel,Phuket,2024-10-02,2024-10-10,8,3,2,3,1.0,0,Bra,Corporate,Corporate,0,0,0,C,C,2,No Deposit,71.0,0.0,Contract,Sc,5.0,137.31,0,0,3.52,Check-Out,0,2024-10-15,686.56,1,October,2024,4.0
HTL022647,Resort Hotel,Maldives,2025-06-30,2025-08-23,54,1,4,2,0.0,0,Chn,Direct,Direct,0,0,0,E,E,1,No Deposit,37.0,0.0,Contract,Hb,5.0,187.73,0,2,4.18,Canceled,1,2025-08-27,938.64,0,August,2025,2.0
HTL012210,Resort Hotel,Bali,2024-04-30,2024-12-06,220,1,7,4,0.0,1,Jpn,Direct,Direct,0,0,0,G,G,0,Non Refund,77.0,0.0,Transient,Hb,8.0,230.88,0,0,3.88,Check-Out,0,2024-12-12,1497.9950000000001,0,December,2024,5.0
HTL015246,City Hotel,Lisbon,2025-10-08,2026-01-02,86,0,1,2,0.0,0,Bel,Online Ta,Ta/To,0,0,0,G,G,1,Refundable,89.0,1.0,Group,Sc,1.0,142.03,0,2,3.67,Canceled,1,2026-01-03,142.03,0,January,2026,2.0
HTL019546,Resort Hotel,Algarve,2025-03-06,2026-03-06,365,0,5,2,0.0,0,Chn,Direct,Direct,0,0,0,G,G,0,No Deposit,74.0,0.0,Transient,Sc,5.0,202.16,1,0,4.05,Canceled,1,2026-03-09,1010.78,0,March,2026,2.0
HTL022817,City Hotel,London,2025-07-13,2025-08-02,20,0,6,2,0.0,1,Are,Online Ta,Ta/To,1,0,9,E,E,0,No Deposit,119.0,0.0,Group,Sc,6.0,160.99,0,1,4.24,Canceled,1,2025-08-07,965.95,0,August,2025,3.0
HTL016822,City Hotel,Dubai,2025-02-23,2026-02-08,350,1,4,2,0.0,0,Unknown,Direct,Direct,0,0,0,C,B,0,Non Refund,126.0,0.0,Transient-Party,Undefined,5.0,87.93,0,2,3.27,Canceled,1,2026-02-10,439.63,0,February,2026,2.0
HTL013031,City Hotel,Lisbon,2024-08-29,2025-06-18,293,3,1,3,2.0,0,Bel,Offline Ta/To,Ta/To,0,0,0,D,D,0,Non Refund,158.0,1.0,Transient,Bb,4.0,118.96,0,2,4.38,Canceled,1,2025-06-22,475.84,0,June,2025,5.0
HTL024495,City Hotel,Dubai,2024-03-03,2024-04-02,30,0,1,2,1.0,0,Gbr,Offline Ta/To,Ta/To,0,0,0,C,A,1,Non Refund,16.0,0.0,Transient,Hb,1.0,85.88,0,1,4.24,Canceled,1,2024-04-02,85.88,0,April,2024,3.0
HTL010701,City Hotel,Barcelona,2024-08-10,2024-12-16,128,1,5,2,0.0,0,Usa,Online Ta,Ta/To,0,0,0,E,E,0,Non Refund,133.0,0.0,Group,Fb,6.0,122.68,0,2,4.32,Canceled,1,2024-12-17,736.1,0,December,2024,2.0
HTL007178,Resort Hotel,Maldives,2024-11-15,2025-03-24,129,0,7,2,0.0,0,Jpn,Online Ta,Ta/To,0,0,0,B,B,2,Non Refund,162.0,0.0,Transient-Party,Fb,7.0,120.81,0,0,3.73,Canceled,1,2025-03-25,845.64,0,March,2025,2.0
HTL011381,Resort Hotel,Maldives,2025-04-27,2025-05-14,17,0,3,2,0.0,0,Prt,Online Ta,Ta/To,0,0,0,C,C,3,No Deposit,69.0,0.0,Group,Undefined,3.0,131.85,0,1,3.85,Check-Out,0,2025-05-14,395.56,0,May,2025,2.0
HTL012103,Resort Hotel,Goa,2024-11-24,2025-09-05,285,0,5,2,0.0,0,Nld,Offline Ta/To,Ta/To,0,0,0,F,F,1,Non Refund,46.0,1.0,Transient-Party,Undefined,5.0,224.36,0,2,3.45,Canceled,1,2025-09-05,1121.78,0,September,2025,2.0
HTL011237,City Hotel,London,2025-05-21,2025-12-14,207,1,0,3,0.0,0,Aus,Corporate,Corporate,0,0,0,E,E,0,Non Refund,145.0,0.0,Group,Undefined,1.0,151.38,0,1,3.83,Canceled,1,2025-12-14,151.38,1,December,2025,3.0
HTL000973,City Hotel,Lisbon,2025-12-20,2026-03-05,75,0,5,2,0.0,0,Nld,Direct,Direct,0,0,0,A,E,0,Refundable,97.0,2.5,Contract,Sc,5.0,49.78,1,1,3.01,Check-Out,0,2026-03-09,248.89,0,March,2026,2.0
HTL015449,Resort Hotel,Maldives,2025-11-21,2026-01-05,45,0,6,2,0.0,0,Prt,Offline Ta/To,Ta/To,0,0,0,G,G,0,No Deposit,58.0,0.0,Transient,Undefined,6.0,197.7,0,1,3.8,Check-Out,0,2026-01-11,1186.23,0,January,2026,2.0
HTL017381,Resort Hotel,Bali,2024-01-07,2024-01-20,13,0,4,2,0.0,0,Prt,Direct,Direct,0,0,0,A,A,0,No Deposit,23.0,2.0,Group,Hb,4.0,103.58,0,0,3.56,Check-Out,0,2024-01-20,414.31,0,January,2024,2.0
HTL008103,City Hotel,Dubai,2025-08-30,2025-12-10,102,1,0,2,1.0,0,Aus,Online Ta,Ta/To,0,0,0,E,E,3,No Deposit,20.0,2.5,Contract,Fb,1.0,161.35,0,1,3.73,Check-Out,0,2025-12-11,161.35,0,December,2025,3.0
HTL012682,City Hotel,Dubai,2025-12-10,2026-09-23,287,0,4,1,0.0,0,Esp,Online Ta,Ta/To,1,0,8,E,E,3,No Deposit,177.0,0.0,Transient,Hb,4.0,150.94,0,1,3.65,Check-Out,0,2026-09-24,603.76,0,September,2026,1.0
HTL002204,Resort Hotel,Algarve,2025-09-01,2025-10-13,42,0,1,3,0.0,0,Usa,Offline Ta/To,Ta/To,0,0,0,F,F,0,Refundable,57.0,0.0,Contract,Fb,1.0,186.25,0,0,3.65,Check-Out,0,2025-10-13,186.25,0,October,2025,3.0
HTL008373,City Hotel,London,2024-01-11,2024-10-01,264,3,3,2,0.0,0,Esp,Online Ta,Ta/To,0,0,0,B,B,0,Non Refund,152.0,0.0,Transient,Undefined,6.0,96.8,0,2,3.83,Canceled,1,2024-10-05,580.78,0,October,2024,2.0
HTL016576,Resort Hotel,Goa,2025-04-18,2025-12-05,231,2,2,2,0.0,0,Pol,Direct,Direct,0,0,0,B,B,2,Non Refund,158.0,2.0,Contract,Hb,4.0,168.11,0,3,4.06,Canceled,1,2025-12-08,672.43,0,December,2025,2.0
HTL000317,Resort Hotel,Algarve,2025-07-10,2025-12-25,168,2,2,2,0.0,0,Usa,Online Ta,Ta/To,1,0,11,B,B,1,Non Refund,114.0,0.0,Transient,Sc,4.0,173.01,0,1,3.84,Canceled,1,2025-12-26,692.02,0,December,2025,2.0
HTL007376,City Hotel,London,2024-07-20,2024-10-31,103,1,1,4,0.0,0,Che,Online Ta,Ta/To,0,0,0,C,H,0,No Deposit,154.0,0.0,Transient,Undefined,2.0,79.04,2,3,3.86,Check-Out,0,2024-11-02,158.08,0,October,2024,4.0
HTL022344,City Hotel,Amsterdam,2025-01-25,2025-07-19,175,0,2,1,0.0,0,Swe,Online Ta,Ta/To,0,0,0,A,A,1,Non Refund,140.0,0.0,Group,Hb,2.0,94.64,0,1,3.44,Canceled,1,2025-07-20,189.27,0,July,2025,1.0
HTL022613,City Hotel,Dubai,2025-12-27,2026-07-23,208,1,1,3,0.0,1,Can,Online Ta,Ta/To,1,0,7,G,G,1,Non Refund,10.0,0.0,Transient-Party,Fb,2.0,185.44,0,3,3.73,Canceled,1,2026-07-23,370.87,0,July,2026,4.0
HTL017084,City Hotel,Amsterdam,2024-08-07,2025-03-03,208,0,1,3,1.0,0,Chn,Online Ta,Ta/To,0,0,0,G,G,0,Non Refund,104.0,0.0,Group,Fb,1.0,106.45,0,0,3.64,Canceled,1,2025-03-04,106.45,0,March,2025,4.0
HTL009227,City Hotel,Dubai,2025-05-02,2026-04-03,336,2,2,2,2.0,0,Nld,Offline Ta/To,Ta/To,0,0,0,G,G,0,Non Refund,66.0,2.5,Transient,Bb,4.0,168.07,0,0,3.78,Canceled,1,2026-04-05,672.28,0,April,2026,4.0
HTL008560,City Hotel,London,2025-05-30,2025-06-02,3,0,1,2,0.0,0,Swe,Online Ta,Ta/To,0,0,0,G,G,0,No Deposit,4.0,1.0,Transient-Party,Bb,1.0,143.18,0,1,3.29,Check-Out,0,2025-06-03,143.18,0,June,2025,2.0
HTL013980,Resort Hotel,Maldives,2025-11-12,2026-07-14,244,3,2,2,0.0,0,Sau,Online Ta,Ta/To,0,0,0,A,A,0,Non Refund,35.0,0.0,Transient-Party,Hb,5.0,143.68,0,0,4.04,Canceled,1,2026-07-18,718.39,0,July,2026,2.0
HTL015277,Resort Hotel,Bali,2024-10-27,2024-11-29,33,2,3,2,0.0,0,Irl,Online Ta,Ta/To,0,0,0,E,E,0,No Deposit,52.0,1.0,Transient,Undefined,5.0,148.12,0,0,3.23,Check-Out,0,2024-12-04,740.61,0,November,2024,2.0
HTL002034,Resort Hotel,Bali,2025-03-23,2026-01-08,291,2,1,2,0.0,0,Prt,Corporate,Corporate,1,2,11,E,E,0,Non Refund,127.0,0.0,Transient-Party,Undefined,3.0,159.88,0,2,3.58,Canceled,1,2026-01-09,479.63,1,January,2026,2.0
HTL002853,Resort Hotel,Bali,2025-12-22,2026-02-15,55,3,3,1,0.0,0,Pol,Direct,Direct,1,0,5,G,G,1,No Deposit,131.0,2.5,Group,Hb,6.0,162.57,0,0,3.69,Check-Out,0,2026-02-18,975.44,0,February,2026,1.0
HTL009904,City Hotel,Barcelona,2024-08-21,2025-04-04,226,3,2,2,1.0,0,Sau,Online Ta,Ta/To,0,0,0,F,F,0,No Deposit,30.0,0.0,Contract,Bb,5.0,158.15,0,2,4.03,Canceled,1,2025-04-05,790.73,0,April,2025,3.0
HTL001606,Resort Hotel,Phuket,2025-12-30,2026-04-15,106,0,6,3,1.0,0,Sau,Direct,Direct,0,0,0,A,A,2,No Deposit,135.0,0.0,Group,Fb,6.0,106.51,0,2,3.85,Canceled,1,2026-04-21,639.08,0,April,2026,4.0
HTL016897,City Hotel,Barcelona,2025-06-02,2026-05-08,340,1,2,2,1.0,0,Can,Corporate,Corporate,0,0,0,G,G,0,No Deposit,36.0,0.0,Transient,Sc,3.0,117.85,0,1,3.5,Canceled,1,2026-05-11,353.55,0,May,2026,3.0
HTL017890,City Hotel,Lisbon,2025-08-31,2026-08-07,341,0,1,2,1.0,0,Esp,Groups,Ta/To,1,0,9,F,F,0,Refundable,18.0,0.0,Transient-Party,Bb,1.0,138.38,0,4,3.59,Check-Out,0,2026-08-07,138.38,1,August,2026,3.0
HTL001772,City Hotel,Barcelona,2024-06-17,2025-02-01,229,1,6,4,0.0,0,Prt,Offline Ta/To,Ta/To,0,0,0,G,G,1,Non Refund,60.0,0.0,Transient,Fb,7.0,127.38,0,2,3.89,Canceled,1,2025-02-03,891.69,0,February,2025,4.0
HTL000446,Resort Hotel,Bali,2024-01-06,2024-11-14,313,1,4,2,0.0,0,Che,Online Ta,Ta/To,0,0,0,D,D,3,Non Refund,63.0,2.0,Transient-Party,Sc,5.0,118.51,1,1,4.45,Canceled,1,2024-11-14,592.54,0,November,2024,2.0
HTL012135,City Hotel,Barcelona,2024-02-14,2024-06-03,110,1,6,2,0.0,0,Ind,Corporate,Corporate,0,0,0,D,A,0,Non Refund,20.0,0.0,Transient,Undefined,7.0,96.14,2,4,4.01,Canceled,1,2024-06-08,672.97,1,June,2024,2.0
HTL013229,City Hotel,London,2024-01-21,2024-11-05,289,2,3,4,0.0,0,Gbr,Groups,Ta/To,0,0,0,C,C,3,Non Refund,70.0,2.5,Contract,Fb,5.0,75.85,1,0,3.78,Canceled,1,2024-11-08,379.25,1,November,2024,4.0
HTL014455,City Hotel,Amsterdam,2024-05-29,2024-07-04,36,1,1,2,0.0,0,Fra,Online Ta,Ta/To,1,0,10,E,E,1,Non Refund,139.0,0.0,Group,Undefined,2.0,144.24,0,1,4.19,No-Show,1,2024-07-06,288.49,0,July,2024,2.0
HTL012722,City Hotel,Amsterdam,2024-07-15,2024-10-29,106,2,0,2,1.0,0,Usa,Corporate,Corporate,0,0,0,C,C,0,No Deposit,77.0,2.5,Transient,Undefined,2.0,109.44,0,1,4.15,Check-Out,0,2024-10-29,218.87,1,October,2024,3.0
HTL008488,Resort Hotel,Algarve,2025-08-04,2025-09-17,44,2,3,3,0.0,0,Swe,Online Ta,Ta/To,1,1,3,E,E,3,No Deposit,93.0,0.0,Transient,Fb,5.0,178.2,0,0,3.66,Check-Out,0,2025-09-17,891.01,0,September,2025,3.0
